day,fold,T,tau_star,tau_robust,NB_star,NB_robust,NB_low90_at_robust,max_NB_point,max_NB_low90,NB_all_at_star,NB_all_at_robust,prevalence,treat_rate_star,treat_rate_rob
7,4,100,0.05,0.05,0.04532592478263106,0.04532592478263106,0.03543842260075795,0.04532592478263106,0.03543842260075795,0.09039460822143333,0.09039460822143333,0.13587487781036167,0.11632453567937438,0.11632453567937438
7,5,75,0.05,0.05,0.12203074056823474,0.12203074056823474,0.10818968867445525,0.12203074056823474,0.10818968867445525,0.19888216115510016,0.19888216115510016,0.23893805309734514,0.23795476892822026,0.23795476892822026
7,5,100,0.05,0.05,0.041763701288619774,0.041763701288619774,0.030837945512176942,0.041763701288619774,0.030837945512176942,0.09227345650261347,0.09227345650261347,0.1376597836774828,0.1111111111111111,0.1111111111111111
8,1,75,0.05,0.05,0.11451817950673786,0.11451817950673786,0.09904693945494251,0.11451817950673786,0.09904693945494251,0.1955250444952962,0.1955250444952962,0.2357487922705314,0.2782608695652174,0.2782608695652174
8,1,100,0.05,0.05,0.04525807271802695,0.04525807271802695,0.03378283950969142,0.04525807271802695,0.03378283950969142,0.08263412153572336,0.08263412153572336,0.1285024154589372,0.14492753623188406,0.14492753623188406
8,2,75,0.05,0.05,0.13968788249694003,0.13968788249694003,0.12293137291289408,0.13968788249694003,0.12293137291289408,0.2248062015503876,0.2248062015503876,0.26356589147286824,0.25290697674418605,0.25290697674418605
8,2,100,0.05,0.05,0.053192574459404326,0.053192574459404326,0.04093775307908787,0.053192574459404326,0.04093775307908787,0.1044471644226846,0.1044471644226846,0.14922480620155038,0.11337209302325581,0.11337209302325581
8,3,75,0.05,0.05,0.12697112430882654,0.12697112430882654,0.11143864313085358,0.12697112430882654,0.11143864313085358,0.19107106287118575,0.19107106287118575,0.23151750972762647,0.2723735408560311,0.2723735408560311
8,3,100,0.05,0.05,0.05089084579152161,0.05089084579152161,0.03860232478194644,0.05089084579152161,0.03860232478194644,0.09686668031947573,0.09686668031947573,0.14202334630350194,0.122568093385214,0.122568093385214
8,4,75,0.05,0.05,0.14528991099449504,0.14528991099449504,0.12885231515699186,0.14528991099449504,0.12885231515699186,0.2138704532592478,0.2138704532592478,0.25317693059628543,0.25024437927663734,0.25024437927663734
8,4,100,0.05,0.05,0.042856407881874774,0.042856407881874774,0.031566622797446195,0.042856407881874774,0.031566622797446195,0.09039460822143333,0.09039460822143333,0.13587487781036167,0.1241446725317693,0.1241446725317693
8,5,75,0.05,0.05,0.12627438803498423,0.12627438803498423,0.1096673213836321,0.12627438803498423,0.1096673213836321,0.19888216115510016,0.19888216115510016,0.23893805309734514,0.255653883972468,0.255653883972468
8,5,100,0.05,0.05,0.04160844589349479,0.04160844589349479,0.03248987234967581,0.04160844589349479,0.03248987234967581,0.09227345650261347,0.09227345650261347,0.1376597836774828,0.11406096361848574,0.11406096361848574
9,1,75,0.05,0.05,0.11309433002796847,0.11309433002796847,0.09721669597855506,0.11309433002796847,0.09721669597855506,0.1955250444952962,0.1955250444952962,0.2357487922705314,0.24734299516908212,0.24734299516908212
9,1,100,0.05,0.05,0.04195270785659802,0.04195270785659802,0.03180909559785325,0.04195270785659802,0.03180909559785325,0.08263412153572336,0.08263412153572336,0.1285024154589372,0.13043478260869565,0.13043478260869565
9,2,75,0.05,0.05,0.14845981232150143,0.14845981232150143,0.12960822337196357,0.14845981232150143,0.12960822337196357,0.2248062015503876,0.2248062015503876,0.26356589147286824,0.2606589147286822,0.2606589147286822
9,2,100,0.05,0.05,0.0625764993880049,0.0625764993880049,0.05059167356237252,0.0625764993880049,0.05059167356237252,0.1044471644226846,0.1044471644226846,0.14922480620155038,0.12887596899224807,0.12887596899224807
9,3,75,0.05,0.05,0.1302989965185337,0.1302989965185337,0.11425662797499711,0.1302989965185337,0.11425662797499711,0.19107106287118575,0.19107106287118575,0.23151750972762647,0.26750972762645914,0.26750972762645914
9,3,100,0.05,0.05,0.05442351013721073,0.05442351013721073,0.04323968522268935,0.05442351013721073,0.04323968522268935,0.09686668031947573,0.09686668031947573,0.14202334630350194,0.13326848249027237,0.13326848249027237
9,4,75,0.05,0.05,0.14225446313731543,0.14225446313731543,0.12454321696843426,0.14225446313731543,0.12454321696843426,0.2138704532592478,0.2138704532592478,0.25317693059628543,0.24926686217008798,0.24926686217008798
9,4,100,0.05,0.05,0.04532592478263106,0.04532592478263106,0.03520069980802837,0.04532592478263106,0.03520069980802837,0.09039460822143333,0.09039460822143333,0.13587487781036167,0.13587487781036167,0.13587487781036167
9,5,75,0.05,0.05,0.1248770894788594,0.1248770894788594,0.1097820187889931,0.1248770894788594,0.1097820187889931,0.19888216115510016,0.19888216115510016,0.23893805309734514,0.26253687315634217,0.26253687315634217
9,5,100,0.05,0.05,0.04253997826424469,0.04253997826424469,0.03338319660689231,0.04253997826424469,0.03338319660689231,0.09227345650261347,0.09227345650261347,0.1376597836774828,0.1160275319567355,0.1160275319567355
10,1,75,0.05,0.05,0.11939994914823292,0.11939994914823292,0.10159604262487264,0.11939994914823292,0.10159604262487264,0.1955250444952962,0.1955250444952962,0.2357487922705314,0.26280193236714977,0.26280193236714977
10,1,100,0.05,0.05,0.04688532926519197,0.04688532926519197,0.037044084924478124,0.04688532926519197,0.037044084924478124,0.08263412153572336,0.08263412153572336,0.1285024154589372,0.13333333333333333,0.13333333333333333
10,2,75,0.05,0.05,0.13525091799265607,0.13525091799265607,0.11773836778270098,0.13525091799265607,0.11773836778270098,0.2248062015503876,0.2248062015503876,0.26356589147286824,0.25968992248062017,0.25968992248062017
10,2,100,0.05,0.05,0.06323949408404732,0.06323949408404732,0.05104279414131313,0.06323949408404732,0.05104279414131313,0.1044471644226846,0.1044471644226846,0.14922480620155038,0.13565891472868216,0.13565891472868216
10,3,75,0.05,0.05,0.13424124513618677,0.13424124513618677,0.1155424628647546,0.13424124513618677,0.1155424628647546,0.19107106287118575,0.19107106287118575,0.23151750972762647,0.2898832684824903,0.2898832684824903
10,3,100,0.05,0.05,0.05488429244317018,0.05488429244317018,0.04238023895238803,0.05488429244317018,0.04238023895238803,0.09686668031947573,0.09686668031947573,0.14202334630350194,0.1245136186770428,0.1245136186770428
10,4,75,0.05,0.05,0.14909708288316098,0.14909708288316098,0.13188293282175048,0.14909708288316098,0.13188293282175048,0.2138704532592478,0.2138704532592478,0.25317693059628543,0.2561094819159335,0.2561094819159335
10,4,100,0.05,0.05,0.045377373051396816,0.045377373051396816,0.03385175251483198,0.045377373051396816,0.03385175251483198,0.09039460822143333,0.09039460822143333,0.13587487781036167,0.11534701857282502,0.11534701857282502
