threshold,MCC,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,TP,TN,FP,FN
0.18000000000000002,0.6202355185046942,0.8909444985394352,0.8582056689217441,0.5683814303638645,0.8132854578096947,0.9031258800337933,0.6691285081240768,453,3207,344,104
0.17,0.6101757016078629,0.8838851022395326,0.8594203367499078,0.5476190476190477,0.8258527827648114,0.8929878907350042,0.658554044380816,460,3171,380,97
0.16,0.5999881309717261,0.8777994157740994,0.8581707835606023,0.5315729047072331,0.8312387791741472,0.8851027879470572,0.6484593837535014,463,3143,408,94
0.15000000000000002,0.5933432209831504,0.8712268743914313,0.8604239228639163,0.5153172866520788,0.8456014362657092,0.8752464094621234,0.6403806934058464,471,3108,443,86
0.14,0.5783136133611912,0.8627069133398247,0.8562525942827444,0.49631966351209256,0.8473967684021544,0.8651084201633342,0.6259946949602122,472,3072,479,85
0.13,0.5756990242433533,0.8575949367088608,0.8593505660276242,0.48582995951417,0.8617594254937163,0.856941706561532,0.6213592233009708,480,3043,508,77
0.12,0.565747180914694,0.8488315481986368,0.8588227353459996,0.4691119691119691,0.8725314183123878,0.8451140523796113,0.6101694915254237,486,3001,550,71
0.11,0.5540485801609177,0.8378773125608568,0.8577845166633213,0.4502283105022831,0.8850987432675045,0.8304702900591383,0.5968523002421308,493,2949,602,64
0.09999999999999999,0.5353538588957197,0.822541382667965,0.852698079333356,0.4263698630136986,0.8940754039497307,0.8113207547169812,0.577391304347826,498,2881,670,59
0.09,0.5234329579012937,0.8096397273612463,0.8505334173952568,0.4089068825910931,0.9066427289048474,0.794424105885666,0.5636160714285715,505,2821,730,52
0.08,0.5104701661788191,0.7950340798442064,0.8473831176086641,0.39113827349121466,0.9192100538599641,0.7755561813573641,0.5487674169346195,512,2754,797,45
0.06999999999999999,0.49081702630105234,0.7753164556962026,0.8397621829540014,0.3692857142857143,0.9281867145421903,0.7513376513658124,0.5283597342871743,517,2668,883,40
0.060000000000000005,0.46851364608808505,0.7541382667964946,0.8290258338738878,0.34808853118712274,0.9317773788150808,0.726274288932695,0.5068359375,519,2579,972,38
0.05,0.4588958036717318,0.7380720545277507,0.8257875623070245,0.3350286077558805,0.9461400359066428,0.7054350887074063,0.49483568075117373,527,2505,1046,30
0.04,0.4381187743101568,0.7115384615384616,0.8149809369196833,0.31463990554899646,0.9569120287253142,0.6730498451140524,0.47356730342070186,533,2390,1161,24
