day,T,NB_star_mean,NB_robust_mean,NB_low90_rob_mean,max_NB_point_mean,max_NB_low90_mean,prevalence_mean,day_next,U_now,U_next,VOI,wait_k,utility_used
7,100,0.049832197755931784,0.049832197755931784,0.039083332035577956,0.049832197755931784,0.039083332035577956,0.1386570458903668,9,0.049832197755931784,0.04936372408573788,-0.004468473670193904,2,max_NB_point_mean
8,100,0.04676126934886449,0.04676126934886449,0.03547588250356955,0.04676126934886449,0.03547588250356955,0.1386570458903668,10,0.04676126934886449,0.05083370205381016,7.243270494567203e-5,2,max_NB_point_mean
9,100,0.04936372408573788,0.04936372408573788,0.03884487015956716,0.04936372408573788,0.03884487015956716,0.1386570458903668,11,0.04936372408573788,0.0485040787731474,-0.0048596453125904805,2,max_NB_point_mean
10,100,0.05083370205381016,0.05083370205381016,0.039570144813508894,0.05083370205381016,0.039570144813508894,0.1386570458903668,12,0.05083370205381016,0.048290559678356514,-0.006543142375453646,2,max_NB_point_mean
11,100,0.0485040787731474,0.0485040787731474,0.0377030923850955,0.0485040787731474,0.0377030923850955,0.1386570458903668,13,0.0485040787731474,0.051056338915386607,-0.001447739857760793,2,max_NB_point_mean
12,100,0.048290559678356514,0.048290559678356514,0.03757850842060689,0.048290559678356514,0.03757850842060689,0.1386570458903668,14,0.048290559678356514,0.0507875939862965,-0.001502965692060012,2,max_NB_point_mean
13,100,0.051056338915386607,0.051056338915386607,0.03957768414465228,0.051056338915386607,0.03957768414465228,0.1386570458903668,15,0.051056338915386607,0.04789691322158601,-0.007159425693800594,2,max_NB_point_mean
14,100,0.0507875939862965,0.0507875939862965,0.038974596680300934,0.0507875939862965,0.038974596680300934,0.1386570458903668,16,0.0507875939862965,0.04675121326428516,-0.008036380722011339,2,max_NB_point_mean
15,100,0.04789691322158601,0.04789691322158601,0.037274194430824435,0.04789691322158601,0.037274194430824435,0.1386570458903668,17,0.04789691322158601,0.05226054352913537,3.6363030754935424e-4,2,max_NB_point_mean
16,100,0.04675121326428516,0.04675121326428516,0.03632261713647429,0.04675121326428516,0.03632261713647429,0.1386570458903668,18,0.04675121326428516,0.05350750401643586,0.002756290752150694,2,max_NB_point_mean
17,100,0.05226054352913537,0.05226054352913537,0.04088296070314469,0.05226054352913537,0.04088296070314469,0.1386570458903668,19,0.05226054352913537,0.05065534244823654,-0.00560520108089883,2,max_NB_point_mean
18,100,0.05350750401643586,0.05350750401643586,0.04154534111741342,0.05350750401643586,0.04154534111741342,0.1386570458903668,20,0.05350750401643586,0.051857564980241584,-0.005649939036194273,2,max_NB_point_mean
1,100,0.024709522355504016,0.024709522355504016,0.017139369692492967,0.024709522355504016,0.017139369692492967,0.1386570458903668,4,0.024709522355504016,0.047388485531175355,0.016678963175671337,3,max_NB_point_mean
2,100,0.03892462893071449,0.03892462893071449,0.02851669892973967,0.03892462893071449,0.02851669892973967,0.1386570458903668,5,0.03892462893071449,0.04743578434942241,0.002511155418707922,3,max_NB_point_mean
3,100,0.04217712238387466,0.04217712238387466,0.03199655311905468,0.04217712238387466,0.03199655311905468,0.1386570458903668,6,0.04217712238387466,0.048615222498166494,4.3810011429183497e-4,3,max_NB_point_mean
4,100,0.047388485531175355,0.047388485531175355,0.03662689016703738,0.047388485531175355,0.03662689016703738,0.1386570458903668,7,0.047388485531175355,0.049832197755931784,-0.0035562877752435707,3,max_NB_point_mean
5,100,0.04743578434942241,0.04743578434942241,0.037029701255438696,0.04743578434942241,0.037029701255438696,0.1386570458903668,8,0.04743578434942241,0.04676126934886449,-0.006674515000557922,3,max_NB_point_mean
6,100,0.048615222498166494,0.048615222498166494,0.037876121172816087,0.048615222498166494,0.037876121172816087,0.1386570458903668,9,0.048615222498166494,0.04936372408573788,-0.005251498412428614,3,max_NB_point_mean
7,100,0.049832197755931784,0.049832197755931784,0.039083332035577956,0.049832197755931784,0.039083332035577956,0.1386570458903668,10,0.049832197755931784,0.05083370205381016,-0.004998495702121625,3,max_NB_point_mean
8,100,0.04676126934886449,0.04676126934886449,0.03547588250356955,0.04676126934886449,0.03547588250356955,0.1386570458903668,11,0.04676126934886449,0.0485040787731474,-0.004257190575717088,3,max_NB_point_mean
9,100,0.04936372408573788,0.04936372408573788,0.03884487015956716,0.04936372408573788,0.03884487015956716,0.1386570458903668,12,0.04936372408573788,0.048290559678356514,-0.007073164407381366,3,max_NB_point_mean
10,100,0.05083370205381016,0.05083370205381016,0.039570144813508894,0.05083370205381016,0.039570144813508894,0.1386570458903668,13,0.05083370205381016,0.051056338915386607,-0.005777363138423553,3,max_NB_point_mean
11,100,0.0485040787731474,0.0485040787731474,0.0377030923850955,0.0485040787731474,0.0377030923850955,0.1386570458903668,14,0.0485040787731474,0.0507875939862965,-0.0037164847868508977,3,max_NB_point_mean
12,100,0.048290559678356514,0.048290559678356514,0.03757850842060689,0.048290559678356514,0.03757850842060689,0.1386570458903668,15,0.048290559678356514,0.04789691322158601,-0.006393646456770501,3,max_NB_point_mean
13,100,0.051056338915386607,0.051056338915386607,0.03957768414465228,0.051056338915386607,0.03957768414465228,0.1386570458903668,16,0.051056338915386607,0.04675121326428516,-0.010305125651101444,3,max_NB_point_mean
14,100,0.0507875939862965,0.0507875939862965,0.038974596680300934,0.0507875939862965,0.038974596680300934,0.1386570458903668,17,0.0507875939862965,0.05226054352913537,-0.004527050457161135,3,max_NB_point_mean
15,100,0.04789691322158601,0.04789691322158601,0.037274194430824435,0.04789691322158601,0.037274194430824435,0.1386570458903668,18,0.04789691322158601,0.05350750401643586,-3.894092051501558e-4,3,max_NB_point_mean
16,100,0.04675121326428516,0.04675121326428516,0.03632261713647429,0.04675121326428516,0.03632261713647429,0.1386570458903668,19,0.04675121326428516,0.05065534244823654,-0.002095870816048626,3,max_NB_point_mean
17,100,0.05226054352913537,0.05226054352913537,0.04088296070314469,0.05226054352913537,0.04088296070314469,0.1386570458903668,20,0.05226054352913537,0.051857564980241584,-0.006402978548893783,3,max_NB_point_mean
